created_at,user.name,user.description,text,extended_tweet.full_text,entities.hashtags
Mon Aug 09 18:01:35 +0000 2021,Egocentric Bisexual 💜💙 ⚥︎,"She / her
Psychology students, LG(B)T
https://curiouscat.qa/biproud01




Eterofobica, unlabeled fobica","Non mettere i pronomi grave forma di transfobia, dire a una persona trans di ammazzarsi invece cos'è?",,[]
Mon Aug 09 18:07:08 +0000 2021,simone,RM7 x Sarriball 🐐,"Ma Fognini ha tutte le cose arcobaleno addosso perché l’altra volta ha iniziato a darsi del frocio da solo, che tipo",,[]
Mon Aug 09 18:26:59 +0000 2021,Gabriele 🇵🇸,"Mi piace ascoltare, aiutare, condividere e donare. Non accetto la violenza verbale. INFJ - pro diritti civili, laicità, rispetto. Orgogliosamente vaccinato.",La presa di posizione della comunità lgbt contro i controlli dei documenti delle persone trans mi pare fuori luogo.… https://t.co/J5OJqxSN0i,"La presa di posizione della comunità lgbt contro i controlli dei documenti delle persone trans mi pare fuori luogo.

In molti altri contesti vengono chiesti i documenti.
Penso a:
- ospedali
- aerei, treni e navi
- ingresso a eventi
- controlli ffoo
- pagamenti cc

#greepass",[]
Mon Aug 09 19:59:36 +0000 2021,ً Lisa,she they (w) my loml? oh http://Louis.xn--6ii,@wlepizzette madonna oltre a questo molte persone ci accusano di transfobia dicendo che non ci metteremmo mai con p… https://t.co/ezG86wHi4m,@wlepizzette madonna oltre a questo molte persone ci accusano di transfobia dicendo che non ci metteremmo mai con persone trans 💀 ma da dove vi esce,[]
Mon Aug 09 21:29:58 +0000 2021,AlbaRossa,Le prime frontiere sono quelle mentali,"@bravimabasta @fabiofogna Prima urla frocio,poi si mette i polsini arcobaleno?Deve fare pace con se stesso",,[]
Mon Aug 09 22:12:09 +0000 2021,Sanctions kill,,"@unfruitfruitful Infatti i gay e i trans veri li rispetto.
L'arcobaleno è un'ideologia propedeutica ad aprire nuovi mercati.",,[]
Mon Aug 09 22:37:52 +0000 2021,riddick77,"""Buone recinzioni fanno buoni vicini”","@Cambiacasacca @SamGibili1 Ai trans non si può chiedere, fai valere i tuoi diritti!",,[]
Tue Aug 10 07:34:51 +0000 2021,Berenice 🇮🇹,"""The eyes are useless when the mind is blind.""","@BelpietroTweet Leggevo che la comunità LGBT+ si è lamentata per i documenti, perché una persona trans dovrebbe far… https://t.co/OM16aObbvO","@BelpietroTweet Leggevo che la comunità LGBT+ si è lamentata per i documenti, perché una persona trans dovrebbe fare coming out forzato. Deve essere per questo che stanno facendo retromarcia sui documenti 😅 non perché è un'invasione della privacy a prescindere.",[]
Tue Aug 10 08:26:11 +0000 2021,FVCG🐂🇮🇹,Torino è stata e resterà granata.,"@MirkoZapparoli @DiegoFusaro Frocio no, siamo LGBTQ+ friendly qui🌈
Anche drogato per delle cannette mi sembra esage… https://t.co/BwI3dy6w1o","@MirkoZapparoli @DiegoFusaro Frocio no, siamo LGBTQ+ friendly qui🌈
Anche drogato per delle cannette mi sembra esagerato, però o sta ancora smaltendo la botta di quegli anni o non si spiega",[]
Tue Aug 10 08:37:56 +0000 2021,Kaz || ex @psychoqzzu,Azzurra (23) | she/her | 🇬🇧EN 🇮🇹IT 🏳️‍🌈Ally | Engineering Student 💻| Videogames | Obsessed with Kazuhira Miller and his huge c**k,"Le persone trans che esistono solo quando la comunità LGBT+ dice qualcosa che vi fa comodo, poi il resto del tempo… https://t.co/W08GL7czh7","Le persone trans che esistono solo quando la comunità LGBT+ dice qualcosa che vi fa comodo, poi il resto del tempo sono dei travestiti prostitute donne con la sorpresa",[]
